frame_number,original_frame_number,frame_with_full_frame
1,3517,1
24,3541,
26,3544,
27,3546,
28,3549,
29,3552,
30,3555,
31,3557,
34,3562,
35,3574,
36,3587,
37,3589,
39,3596,
41,3599,
43,3605,43
45,3626,
47,3636,
48,3707,
50,3726,
51,3731,
52,3734,
54,3740,
55,3742,
57,3746,
58,3763,
59,3778,
62,3785,
64,3793,
65,3795,
66,3812,
67,3832,
68,3834,
69,3846,
70,3849,
73,3853,
82,3863,
91,3873,
92,3875,
95,3879,
97,3892,
98,3896,
99,3922,99
100,3946,
101,3958,
104,3962,
105,4010,
106,4022,
107,4029,
108,4066,
109,4081,
110,4097,
113,4109,
120,4649,120
131,4661,
132,4663,
168,4701,
169,4703,
170,4705,
173,4738,
174,4756,
175,4758,
178,4828,178
179,4846,
181,4893,
182,4911,
183,4917,
184,4934,
185,4943,
188,4947,
189,4950,
195,4958,
197,4968,
198,4978,
200,4981,
201,4985,
202,5001,
203,5033,
204,5081,
205,5098,
206,5100,206
207,5125,
208,5129,
209,5138,
210,5140,
211,5152,
213,5161,
214,5163,
215,5165,
217,5168,
218,5174,
219,5196,
238,5257,
247,5267,
249,5270,
255,5277,
259,5282,
272,5296,
275,5301,
279,5315,
280,5341,
282,5410,282
283,5415,
284,5461,
286,5478,
287,5607,
289,5611,
298,5621,
337,5661,
396,5721,396
397,5724,
398,5726,
401,5730,
406,5736,
430,5769,
432,5772,
434,5802,
435,5804,
436,5807,
437,5836,
439,5841,
450,6201,450
468,6220,
475,6229,
477,6232,
485,6347,485
487,6379,
489,6694,489
493,7376,493
495,8496,495
497,8499,
498,8509,
499,8542,
500,8579,
501,8581,
503,8588,
504,8590,
