Time,Rep1,Rep2,Rep3
1,1.274196011,1.330572011,1.291238411
2,1.238058511,1.321341611,3.690268511
3,3.490151011,1.323850811,3.636033511
4,3.581328911,3.868196011,3.955257611
5,4.149702311,3.826171011,4.060997411
6,4.208152411,4.558425211,4.627730311
7,4.212939611,4.545793211,4.627730311
8,4.247238911,4.544696011,4.537909211
9,4.131504311,4.095746011,4.452299411
10,4.136233511,4.188008011,4.434372411
11,4.131150011,4.341266011,4.360826411
12,4.134696011,4.340042511,4.368193211
13,4.367060611,4.272933611,4.646913211
14,4.394228411,4.514408811,4.592658011
15,4.080004611,4.768786011,4.753426011
16,4.081175711,4.748259011,4.359189011
17,4.175348211,4.750866011,4.365330011
18,4.262700011,4.517159911,4.526649611
19,4.056474011,4.452660511,4.362873611
20,2.687908511,4.143984811,2.881382011
21,2.717598611,4.185466811,2.907646011
22,2.792740011,3.108796211,2.837287411
23,2.518494011,3.151105111,2.808139511
24,2.603551511,3.029494311,3.017785211
25,3.122501611,3.082330211,3.292883011
26,3.121523411,3.079418411,3.298961011
27,2.690261211,3.296935011,2.905119011
28,2.595869811,2.840379211,2.942235011
29,2.817552411,2.678437211,2.970352411
30,2.809296711,2.674866011,2.958981211
31,2.696070911,2.763720411,3.107819911
32,2.874503111,2.779573811,3.039867611
33,3.181386011,2.813068311,3.268616411
34,3.152043511,3.144921511,3.445867811
35,3.142198511,3.145905011,3.426075511
36,3.678999611,3.114829611,3.783456011
37,4.438329611,3.253283911,4.263111311
38,2.625332011,4.217503511,2.793225711
39,2.633296111,4.210342511,3.250377311
40,2.702794111,3.024757111,3.231250011
41,2.943925511,3.511788311,4.415534011
42,4.074027511,3.853737511,3.685586011
43,4.178258511,3.981653211,2.802875611
44,4.213973511,3.981653211,2.801041011
45,2.656134811,2.868386611,4.158153611
46,4.196762811,4.367931011,4.487752811
47,4.345531411,4.374133211,4.378848611
48,4.344308511,4.372902811,4.504313111
49,4.291468611,4.411280311,4.526904911
50,2.790795011,4.436681011,3.202974111
51,2.849962511,3.115706011,3.072341911
52,3.002166011,3.093889211,3.839346011
53,2.980212511,3.088037411,3.857266011
54,2.854390811,4.093269611,3.356730611
55,2.820870311,3.443903411,2.892100811
56,2.918098211,2.858414711,4.549177511
57,2.886162011,4.536746811,4.457556611
58,4.279221011,4.497885211,4.462543411
59,4.083811211,4.491335411,4.383345611
60,4.249828811,4.401258611,4.316811611
61,4.235658511,4.544290611,4.434087611
62,4.233255111,4.548080811,4.435330211
63,4.142578011,4.348320211,4.337566611
64,4.255284011,4.567422011,2.818551011
65,2.759598811,3.016623011,2.988501011
66,2.657909111,2.926789111,3.325288411
67,2.650802711,2.928672911,3.321213611
68,3.244402011,3.251151011,3.173388611
69,2.851819611,3.038971011,2.931807011
70,2.796632411,2.964133211,2.896221611
71,2.772837211,2.960338811,2.893414811
72,2.691945311,4.137023811,2.832840411
73,3.192690011,2.955806411,2.971861211
74,2.829231211,2.912005911,3.472120411
75,4.323620111,3.246027111,2.874431011
76,4.319986211,3.241007611,2.861341011
77,4.294271411,3.102822011,3.922509211
78,2.848739411,3.649424411,3.034647311
79,2.696070911,3.047854811,3.217128911
80,2.698758011,3.059442011,3.216131011
81,2.631215411,2.944297011,3.709308111
82,2.918006511,3.225089011,3.147429711
83,3.235039011,3.112971611,3.525954511
84,2.854704011,3.121269211,3.008872411
85,2.855631011,3.114415511,3.016539611
86,2.710775511,3.031555511,2.959928811
87,2.887592011,2.901184611,3.452375611
88,3.624478611,3.309925511,3.542343111
89,3.626633411,4.118638811,3.116154211
90,3.508111211,4.116291611,3.124976011
91,3.123533511,2.783233511,4.407462011
92,3.857433511,4.343283511,4.571558011
93,4.406644911,4.361429111,4.521807511
94,4.401708511,4.335748211,4.524326511
95,4.294920011,4.508178011,4.369220811
96,4.292870411,4.525586011,3.483633811
97,2.933054411,3.237377711,2.945924411
98,2.964917011,3.294990011,4.322756211
99,2.930781811,3.294990011,4.322756211
100,4.324958511,4.527397911,2.393790811
101,3.221185911,3.063363911,2.903618611
102,3.000046811,2.998580411,3.697079511
103,2.986674011,2.999536811,2.951684011
104,3.195420911,3.177466211,2.956783211
105,3.338159011,3.083202911,2.960580011
106,2.818331611,3.098776811,3.086138511
107,3.463813211,3.004466011,2.906802611
108,3.466952411,2.995854811,3.210300011
109,4.309696211,3.003922011,3.024892511
110,2.888427011,2.767890011,2.935714011
111,2.536037011,2.755599311,2.939490011
112,2.537766011,2.766498911,2.936486011
113,3.089946311,2.658478311,3.333138011
114,3.290631411,3.123794211,3.040557011
115,2.675056411,3.605557211,2.878260011
116,3.154151411,3.704413511,2.993346611
117,3.156121611,3.702228511,2.991438811
118,2.932440511,2.994605711,3.048943511
119,2.814906511,3.061053611,3.096594011
120,3.589779011,3.020805211,3.096594011
121,3.575882011,3.012168811,3.142674011
122,2.808833411,4.577373211,3.007038011
123,2.777394011,3.007410011,3.007038011
124,2.659882811,3.060990811,3.004170011
125,2.872942811,2.824514011,2.762617911
126,2.878528211,2.821749511,2.762617911
127,2.727787011,2.827496711,3.034086511
128,2.974711511,3.186660811,3.195839711
129,3.342272411,2.903433011,3.195839711
130,3.344315611,2.895000011,3.078447811
131,2.896871011,2.853571011,3.182015511
132,2.862012011,3.033888311,3.182015511
133,4.394056811,2.979308911,4.576824011
134,3.080335611,4.504409711,4.363160711
135,3.081311311,4.549629311,4.417716411
136,3.850976611,3.037419611,4.327201211
137,4.023075811,4.499060811,4.394514011
138,4.142383511,4.324956811,4.399449611
139,4.140016511,4.257810011,4.457058511
140,4.204906811,4.261431611,4.641292811
141,4.193126211,4.394325611,4.670692511
142,4.177760211,4.323102011,4.358571611
143,4.403941511,4.581164711,4.358571611
144,4.400235011,4.581164711,4.177426011
145,4.211730011,4.489206611,4.372488011
146,4.301330011,4.594493211,4.372488011
147,4.234985711,4.124569611,4.664600411
148,4.171613811,4.612366211,4.581619111
149,4.172803711,4.607261411,4.581619111
150,4.178951311,4.412303711,4.496065011
151,4.371063811,4.385183611,4.330711211
152,4.595167611,4.448122711,4.475922011
153,4.591352811,4.451858011,4.424289611
154,4.386432811,4.478313011,4.459827111
155,4.408068611,4.543329011,3.313981011
156,4.326565211,4.598571011,3.297710611
157,3.752288411,3.522405311,3.271512011
158,3.781086011,3.543639311,2.950694011
159,3.059836011,2.923070411,3.324886011
160,3.025418111,3.488168011,3.324886011
161,2.695106311,3.336134611,4.425974411
162,2.705885911,3.086235611,3.866456711
163,2.673019911,3.089152511,3.019852411
164,4.461209611,3.004150011,3.020084011
165,3.723217511,4.438724011,2.936914511
166,4.082925611,3.813362411,2.988347611
167,4.101650411,3.783276311,3.086059511
168,3.021331611,3.866763611,2.319096011
169,2.854180011,3.114571611,3.284397911
170,3.627220811,3.316014811,3.025442011
171,3.639094211,2.907553811,3.025442011
172,2.555884511,2.903802611,3.010354811
173,1.916213911,3.651906011,4.647196511
174,3.072794011,4.371488811,4.647196511
175,2.410952111,3.287734011,4.640789011
176,2.403367811,3.289758011,4.596754011
177,2.781517211,2.977884611,4.509846611
178,3.441744611,3.233369011,4.616468511
179,2.911398011,4.723744911,4.492306011
180,2.906708011,4.409447411,4.370856011
181,3.306508011,4.415633911,4.386018011
182,4.153848611,4.831402811,4.386018011
183,4.101594011,4.589037611,4.584342011
184,3.886318411,4.484910211,4.373926211
185,3.886318411,4.482406611,4.639764611
186,4.312468811,4.384462411,4.085373011
187,4.252029211,4.521334511,3.360801211
188,4.269444011,3.559714511,4.587042011
189,4.034995011,3.391738211,4.632592211
190,4.036158011,3.359727611,4.572237411
191,3.256174511,4.381996611,4.572237411
192,4.428937011,4.498595811,4.409274611
193,4.146516011,3.096104311,4.510869411
194,4.147701011,3.088293911,4.510869411
195,3.862456011,4.595753211,2.989682411
196,3.310599611,4.680740611,3.095845211
197,4.358457611,4.411323411,4.556756411
198,4.257993011,4.326849811,4.692229711
199,4.257993011,4.329292611,4.499524211
200,4.264390811,4.580349411,4.401258611
201,4.353105211,3.080115611,4.401258611
202,4.151638011,3.229884011,4.408210111
203,4.158754011,2.851507011,3.457552611
204,2.849862611,2.830204411,3.457552611
205,2.809751511,4.700661611,3.160164811
206,3.347418011,4.567081811,3.699142811
207,4.386834011,4.395717611,3.717014011
208,4.395460811,4.394482511,3.357256611
209,4.444397411,4.590887011,3.376811411
210,4.444909511,4.341689111,3.329375511
211,4.417256111,3.270289211,2.588242211
212,4.427160911,2.933910811,2.588242211
213,4.021856411,2.938631811,3.680261211
214,3.181344611,3.231972511,2.982007811
215,2.904929411,4.123922011,3.167079411
216,3.639410711,3.661842011,3.045409011
217,3.623206211,3.694566011,3.270180611
218,4.155610811,3.092586911,3.820741011
219,3.010042011,2.968876211,3.820741011
220,2.820501911,2.643469511,3.057121211
221,2.815897411,3.715550411,3.057121211
222,2.723148011,3.715550411,2.406275811
223,2.939710811,3.295988411,3.772705511
224,3.030618011,2.966001611,4.657112411
225,2.912189711,2.877996111,4.482519211
226,2.914067111,2.875201011,4.466543911
227,2.984610511,3.230243311,4.466543911
228,2.986154611,4.448208611,4.423855611
229,4.307774811,3.397910011,4.602511011
230,3.013266011,3.346411611,3.093835511
231,3.019986011,3.355616811,3.093835511
232,2.872209711,2.794921211,2.953213811
233,2.219831411,3.055325611,2.928337911
234,4.403037911,3.935608811,4.497988811
235,4.398131111,3.926460011,4.550758611
236,4.418578011,4.603671011,3.092642411
237,4.291090011,4.402494311,3.092642411
238,4.349055011,4.502826711,3.116787211
239,4.329292611,4.490363611,3.069356011
240,4.329292611,4.520450011,3.001077611
241,4.255944611,3.137925011,3.021668911
242,3.026904611,3.115225411,3.156213011
243,2.877162911,3.074624411,2.997651411
244,2.882754311,3.053190011,3.139583411
245,2.924283011,3.052222811,4.400332311
246,3.092069411,4.141452411,4.400332311
247,3.021404811,4.516455211,3.412833411
248,4.291468611,2.932904411,4.435549211
249,4.291468611,2.960419611,4.437522011
250,4.227426511,2.893191211,4.555634211
251,3.169307011,2.977315511,4.130239411
252,2.949096211,3.275356011,4.644764411
253,2.953829211,3.113697811,4.644764411
254,2.931409511,3.110763211,3.077541011
255,2.846667611,3.038334011,3.028941811
256,2.852850011,3.116008411,3.028941811
257,3.292830811,2.740068211,3.037941011
