Time,Rep1,Rep2,Rep3
1,1.746735874,1.422819374,1.422819374
2,1.727997874,1.421548374,1.421548374
3,1.128895574,2.622618874,2.622618874
4,2.829083774,3.866587074,3.866587074
5,4.093671974,3.991856674,3.991856674
6,3.637283274,3.982711074,3.982711074
7,3.628696874,4.272001874,4.272001874
8,4.087142874,3.938953874,3.938953874
9,3.570030374,3.732255174,3.732255174
10,3.676060574,4.420145074,4.420145074
11,4.167889474,4.407874074,4.407874074
12,4.157298274,3.766176074,3.766176074
13,3.959512474,3.930560074,3.930560074
14,3.654039474,4.109465774,4.109465774
15,4.185658774,3.727648574,3.727648574
16,4.188022974,3.711282074,3.711282074
17,3.698604674,4.188022974,4.188022974
18,4.013730674,3.505599974,3.505599974
19,3.523242974,4.080136874,4.080136874
20,3.964169174,4.073169074,4.073169074
21,3.949392074,4.357166274,4.357166274
22,4.235422874,4.301035674,4.301035674
23,4.158020274,4.389202874,4.389202874
24,4.087694874,4.304984674,4.304984674
25,4.083042874,4.301367874,4.301367874
26,4.158739874,4.138837474,4.138837474
27,4.084480674,4.223449474,4.223449474
28,4.141914274,3.787410474,3.787410474
29,3.702831474,3.780779874,3.780779874
30,3.708274474,4.246702074,4.246702074
31,4.465491074,3.766841474,3.766841474
32,3.722956674,4.282607474,4.282607474
33,4.228044774,3.915543074,3.915543074
34,4.225664974,3.913280674,3.913280674
35,4.145835874,4.572802474,4.572802474
36,4.160059474,4.319263474,4.319263474
37,4.514598274,4.065039974,4.065039974
38,4.181163874,4.075491674,4.075491674
39,4.185897074,4.315240674,4.315240674
40,3.912997474,4.423957874,4.423957874
41,4.371261874,4.382973874,4.382973874
42,4.314509474,4.532907874,4.532907874
43,4.318134674,4.535411874,4.535411874
44,4.226722374,4.409505374,4.409505374
45,4.224310574,4.052805374,4.052805374
46,4.102800674,1.767469674,1.767469674
47,1.605741074,1.777345274,1.777345274
48,1.625339274,1.723462874,1.723462874
49,1.617720674,1.659218474,1.659218474
50,1.566917474,1.653519374,1.653519374
51,1.613936674,1.433326874,1.433326874
52,1.627408674,1.394986874,1.394986874
53,3.020933474,4.508396474,4.508396474
54,4.449874474,4.516585274,4.516585274
55,4.342312474,4.394756774,4.394756774
56,4.443097174,4.387410974,4.387410974
57,4.457913574,4.289758474,4.289758474
58,3.255471874,4.368629474,4.368629474
59,3.087907874,4.401928974,4.401928974
60,3.342739874,4.454145674,4.454145674
61,3.249660374,4.460331174,4.460331174
62,3.247667374,3.027808574,3.027808574
63,3.323569274,2.889192874,2.889192874
64,2.165465474,3.029392774,3.029392774
65,4.225850174,2.656090274,2.656090274
66,4.211664974,2.649941474,2.649941474
67,2.280725274,2.950555874,2.950555874
68,2.009660074,2.782405074,2.782405074
69,1.860570374,2.568010874,2.568010874
70,2.011838674,2.567149874,2.567149874
71,2.014855874,2.806399874,2.806399874
72,2.552512874,2.726419874,2.726419874
73,2.716123874,2.653355274,2.653355274
74,2.649319074,2.458998474,2.458998474
75,2.644063674,2.465724074,2.465724074
76,2.710893674,2.130949674,2.130949674
77,1.873093274,2.543073874,2.543073874
78,2.009890574,2.453451874,2.453451874
79,1.880860274,2.445909874,2.445909874
80,1.861989474,2.464883374,2.464883374
81,3.388264574,2.545457374,2.545457374
82,2.961492074,2.618446274,2.618446274
83,1.772359674,2.609740274,2.609740274
84,1.758949474,2.898009274,2.898009274
85,1.757505774,2.514983874,2.514983874
86,1.534636774,2.673032874,2.673032874
87,2.694800874,2.845425074,2.845425074
88,3.859672874,2.835368874,2.835368874
89,3.856347074,2.355811574,2.355811574
90,1.545804874,2.472495374,2.472495374
91,1.690466374,2.408450074,2.408450074
92,1.527657374,2.413435474,2.413435474
93,1.509269774,2.354617274,2.354617274
94,1.544200274,2.450488674,2.450488674
95,2.463309674,2.766919274,2.766919274
96,1.535295974,2.519323774,2.519323774
97,3.257527874,2.525287074,2.525287074
98,3.297487874,2.822589774,2.822589774
99,2.438975674,2.432696374,2.432696374
100,2.381929674,2.795831474,2.795831474
101,2.298345674,2.795831474,2.795831474
102,2.295112474,2.571798874,2.571798874
103,2.275552274,2.582997974,2.582997974
104,2.573443274,2.541645974,2.541645974
105,3.071576074,2.495356874,2.495356874
106,2.720649074,2.489430674,2.489430674
107,2.709949874,2.581393274,2.581393274
108,2.413007174,2.482951874,2.482951874
109,2.155473274,2.518831274,2.518831274
110,2.330233874,2.526501974,2.526501974
111,2.324535874,2.703487674,2.703487674
112,2.309487974,2.309566074,2.309566074
113,2.722331274,2.400933474,2.400933474
114,2.397843674,2.868065574,2.868065574
115,2.601547874,2.880037274,2.880037274
116,2.605887874,2.530141874,2.530141874
117,2.331861874,2.706750674,2.706750674
118,2.670045274,2.470048374,2.470048374
119,2.208973874,2.472573474,2.472573474
120,2.348452174,2.870271774,2.870271774
121,2.362404074,2.534094374,2.534094374
122,2.707614074,2.826433374,2.826433374
123,2.331595874,2.768451674,2.768451674
124,2.365079074,2.765753774,2.765753774
125,2.356870074,2.731994474,2.731994474
126,2.382555074,2.437014074,2.437014074
127,2.731100674,2.478312374,2.478312374
128,2.364470474,2.471565974,2.471565974
129,1.989365474,2.441001074,2.441001074
130,1.990861874,2.611921874,2.611921874
131,2.549947874,2.397016274,2.397016274
132,2.688751874,2.754799874,2.754799874
133,2.321592674,2.761981474,2.761981474
134,2.321592674,2.554412674,2.554412674
135,2.712679874,2.819325874,2.819325874
136,2.704947374,2.222644874,2.222644874
137,2.493949874,2.218675874,2.218675874
138,2.423563374,2.716275074,2.716275074
139,2.424396074,2.555107874,2.555107874
140,2.396810274,2.532919874,2.532919874
