Time,Rep1,Rep2,Rep3
1,1.460033802,1.594264902,1.904199402
2,4.112032902,1.538950902,4.156952802
3,4.101592002,4.054558302,4.252296402
4,4.043401802,4.047380502,4.431276702
5,4.090579402,4.223749302,4.431276702
6,4.067233802,4.042863002,4.151971302
7,4.078273802,4.039421102,4.143768102
8,4.112899802,4.118599002,2.776867502
9,2.780994702,2.752760602,2.899763602
10,2.832584702,2.681371802,2.899763602
11,2.789515302,2.681371802,2.868651402
12,2.787717902,2.869448802,2.735136902
13,3.260682402,3.175922402,3.739623402
14,3.422916802,3.711502902,3.736359402
15,2.960343402,3.135691302,3.318140202
16,4.042077202,3.136662402,3.885274802
17,4.042077202,3.887967102,3.961652202
18,3.793006602,3.809432202,3.993595802
19,3.934164102,4.155025202,3.995871202
20,3.952745602,4.132196202,4.040023602
21,2.964540402,4.131032402,3.030679202
22,2.985154402,3.133748002,3.126983202
23,3.024144702,3.115712502,3.768023002
24,2.396323902,2.594066802,3.776723802
25,3.197278902,2.596646202,3.521779602
26,3.176793402,3.235437702,3.630013602
27,3.279820802,3.384758702,2.774495202
28,2.396252602,3.000643302,2.795174502
29,2.335539102,2.314330602,2.307579402
30,3.029983902,2.319975402,3.056504402
31,3.017718402,3.015918102,2.980188602
32,3.118323402,3.017463402,3.020865902
33,3.293763402,3.464053902,3.008618602
34,3.237233902,3.460964202,3.738787902
35,3.225403102,3.179526402,2.951602902
36,2.894573902,3.051653902,3.096574602
37,3.074110602,3.116606902,3.077398602
38,3.101336702,2.434878402,4.043241402
39,1.653260202,2.474090502,1.688429802
40,1.661377002,1.782501102,1.694390102
41,1.626644202,1.806861202,1.691798602
42,1.592948202,1.685385902,1.691798602
43,1.095704402,1.683343202,3.736610202
44,1.059951902,0.886417802,4.715683602
45,4.307978002,4.597415402,4.408684602
46,4.300314602,4.333735402,4.419675402
47,4.039299402,3.816586402,2.559474702
48,2.394622302,3.860766402,2.384211502
49,2.392162602,2.296446402,2.336437402
50,2.386649802,2.533576402,2.222111202
51,2.339584602,2.284336902,2.222111202
52,2.477631602,2.287534902,2.516950202
53,2.452533602,2.517606402,2.373907402
54,3.318819202,2.924280402,2.873574402
55,2.456214702,2.541037402,2.869914402
56,2.990585202,3.412020202,4.006436002
57,3.277957402,3.409979402,3.146238402
58,3.290914502,3.040661202,3.123058902
59,2.913092202,2.825098602,3.062199402
60,3.253256202,3.119425102,3.069819402
61,2.645313002,2.555704102,2.488366002
62,2.775288102,2.537797402,2.471384202
63,2.780657502,3.365788302,2.560094302
64,2.220337902,2.261173002,2.644173402
65,2.442604902,2.714581402,2.638090402
66,2.914393602,2.709284602,3.049123002
67,2.912549202,2.863847402,3.407938602
68,3.162379002,2.591654402,3.406279202
69,2.761864602,3.012601902,3.402206802
70,3.258328202,2.672400402,2.853305802
71,3.239067402,2.666264902,4.255709202
72,3.237096802,2.808853402,2.860756202
73,2.840591302,2.924325402,2.587178602
74,3.025355102,2.785655902,2.593204202
75,2.844843402,2.788350802,2.807551402
76,2.844843402,2.722030702,2.483189402
77,2.380922402,2.416044402,2.671870202
78,2.566345902,2.530707402,2.665747302
79,2.327722902,2.637271402,3.546112202
80,4.167749202,2.611231402,2.526366102
81,4.166584602,2.474356202,2.589965702
82,3.055206002,2.674769002,2.376529102
83,2.647924202,2.344914802,2.384712102
84,2.332438902,2.357163402,2.464114402
85,2.333247402,2.357163402,2.882367402
86,2.537823402,2.598360202,2.802925402
87,2.951546202,2.804600202,2.804729402
88,2.679309402,2.704857002,2.864527402
89,2.967333402,2.699567402,2.956233402
90,2.965467402,2.865908202,2.971668402
91,2.985527202,3.128145002,2.733531902
92,3.230199702,2.708180102,2.727319402
93,2.945456902,3.045735002,3.047692902
94,3.009022502,3.044786802,3.096646402
95,3.005258902,3.086486802,3.031634202
96,2.985711402,2.900535702,3.030688002
97,2.934111402,3.122792902,3.098636202
98,2.923400202,3.123756602,3.129943802
99,2.926175802,2.979808602,3.008262202
100,2.792741402,3.023127402,2.830895802
101,2.929375402,2.856279402,2.829082002
102,2.788616602,3.117569402,3.121694202
103,2.933604402,3.113719402,2.564846202
104,2.932677402,2.913361402,2.047455802
105,2.927595702,1.899741002,2.102626602
106,2.007125102,1.941894902,2.105676202
107,2.083985802,1.939700402,1.778692002
108,2.088538602,1.650022002,1.677124802
109,1.841261802,1.745352402,1.682245002
110,1.661016402,1.713766902,1.691798602
111,1.641313402,1.719268502,1.699759602
112,1.714253802,1.773351402,3.781485402
