Time,Rep1,Rep2,Rep3
1,2.393520466,3.560106066,1.264932466
2,2.351587666,3.673208066,3.391426066
3,3.156912766,4.174017666,3.393445666
4,3.627199066,4.169360866,3.626853266
5,3.725551066,3.511791066,3.996275466
6,3.129427066,3.562130866,3.343384466
7,3.139984866,3.976848166,3.418131666
8,3.191780866,3.522070066,3.414074066
9,3.201556366,3.519998866,3.824165866
10,3.131672866,3.600742666,3.443361866
11,3.201211366,4.104344266,3.479380966
12,3.197325366,4.161766666,3.478354666
13,3.792110866,3.521441866,4.118958266
14,4.196235366,3.535972466,4.055988766
15,3.818566966,3.450139666,3.525643966
16,3.822942566,4.076804866,3.360511266
17,3.419791866,3.655179666,3.345460266
18,3.774485766,3.672216466,4.067230466
19,3.355494266,3.505584466,3.539968666
20,3.186273466,3.759927466,3.383710066
21,3.183367666,4.066666066,3.396587866
22,3.396622266,4.076145766,3.395576866
23,3.860340466,4.091052866,4.065852666
24,3.366459166,3.481448766,4.024291566
25,3.384586966,3.871136566,3.472697866
26,3.166181466,4.107292866,3.473723266
27,3.463469266,4.102680866,3.821033866
28,3.770088466,3.912654666,3.990323866
29,3.504494866,4.401525266,3.710322466
30,3.508634866,4.128309466,4.244716366
31,3.927338366,3.578673766,4.254160366
32,3.922201366,3.600742666,4.022824966
33,3.210264466,3.448038866,3.823384666
34,3.174941266,3.477336866,3.352277666
35,3.174941266,3.554965066,3.350274066
36,3.173911066,3.557049466,3.435139366
37,3.281566966,3.634165666,3.517973866
38,3.261993166,3.590437966,3.428953066
39,3.261009866,3.830008566,3.682538666
40,3.227534866,4.150245166,3.684671866
41,3.800214866,4.158370066,3.384485466
42,3.845732066,3.561149266,3.966626966
43,3.238036466,3.501502066,3.387534466
44,3.241954866,3.566258866,3.400685266
45,3.188455466,3.530792866,3.414044866
46,3.189485266,3.532868266,3.385747366
47,3.218834566,3.531325666,3.455204866
48,3.220785166,3.529783066,3.382639066
49,3.276415966,3.503562266,3.382639066
50,3.200181166,3.500466866,3.441303466
51,3.207506766,3.542112566,3.479383866
52,3.236856066,3.531830566,3.491734266
53,3.238813666,3.540044866,3.488647566
54,3.234796466,3.495845866,3.388339666
55,3.206476966,3.495845866,3.486590066
56,3.242984866,3.550351066,3.409944466
57,3.242005066,3.565262866,3.419690266
58,3.237783466,3.533896666,3.420705166
59,3.294444466,3.531820866,3.490704766
60,3.233766666,3.489675466,3.334871866
61,3.208479866,3.581717266,3.417660466
62,3.209452966,3.539027966,3.418675366
63,3.258996766,3.491732266,3.502026266
64,3.182276666,3.485554066,3.429982266
65,3.250145866,3.604856266,3.517978866
66,3.247202866,3.475277866,3.528762966
67,3.239843866,3.553936866,3.530836366
68,3.301655866,3.554978866,3.475778066
69,3.229541866,3.549322666,3.474748666
70,3.230624866,3.544180666,3.545262566
71,3.228670066,3.524110866,3.543184366
72,3.213573766,3.542112566,3.422791366
73,3.219754966,3.541072866,3.440294066
74,3.291394866,3.563190666,3.377537266
75,3.291394866,3.653158166,3.371387166
76,3.229699666,3.623826866,3.371387166
77,3.208592866,3.623826866,3.451088866
78,3.570538066,3.464489866,3.379573366
79,3.227640466,4.405954666,3.421824866
80,3.227640466,4.093206866,3.425890866
81,3.837370066,3.546561866,3.355327366
