Time,Rep1,Rep2,Rep3
1,4.475552365,3.408017765,1.624644165
2,4.489650165,4.583244565,4.553012965
3,4.434354165,4.495282165,4.546769465
4,4.435580665,4.502712565,4.337033565
5,4.569922165,4.539024865,4.511883565
6,4.537640965,4.555924165,4.449407365
7,4.493746165,4.459856165,4.467727165
8,4.508603365,4.555924165,4.470194165
9,2.910785365,4.599674165,4.504371365
10,2.916970165,2.949440365,3.020303665
11,2.902023565,2.958717565,2.969249365
12,2.964289165,3.042562165,2.978339165
13,2.963356165,3.043510165,2.974599165
14,2.795205165,2.971018165,2.922729365
15,2.888510665,2.857498165,3.049616165
16,3.147869365,2.715302665,2.976565365
17,2.862688165,2.750592565,2.970018965
18,2.866344165,2.749701365,3.135499765
19,3.095442165,2.822537365,2.933154165
20,2.866693365,2.770431465,3.022283765
21,2.791966165,2.717218565,2.947176165
22,2.791966165,2.715448765,2.948105665
23,2.779224665,2.753732565,2.936039965
24,2.969444165,2.871730365,2.395900765
25,2.926142165,2.920168565,2.908548965
26,3.003399165,2.815314765,2.752456765
27,3.008106665,2.813507965,2.757812365
28,3.048719165,2.992971565,2.882082565
29,2.001209165,2.951199865,3.382468165
30,1.881911765,2.036102965,2.004374665
31,1.882631865,2.034603765,2.019304665
32,1.932424165,2.041850165,2.111948065
33,1.988760365,2.042549465,1.967315765
34,1.963393065,2.002153265,1.940918165
35,1.765811365,1.998596665,1.950968265
36,1.768600965,2.003051665,1.951701565
37,1.559006965,1.621214965,1.697794165
38,1.706750965,1.588555765,1.731464165
39,1.712971765,1.545664165,1.654549165
40,1.713658165,1.598259365,1.651849165
41,1.644179165,1.597594965,1.648690165
42,,1.593307165,1.645787565
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
