Time,Rep1,Rep2,Rep3
1,1.312366017,1.148503917,1.198751217
2,2.498091417,2.179955617,1.209131217
3,2.500730217,2.591523617,2.664548217
4,2.261590717,2.589728217,2.661811617
5,2.383160217,2.320046617,2.462830017
6,2.825716617,2.800349517,2.631221217
7,2.446796217,2.819451717,2.821256217
8,2.444186217,2.666290617,2.876801217
9,2.737103817,2.664463417,2.883486217
10,2.735041017,3.002331417,2.866137917
11,2.748964917,2.651344017,2.817037317
12,2.459498617,2.738962017,2.848495017
13,2.456007417,2.732468117,3.078169017
14,3.054902217,2.742360117,3.079162917
15,2.992023417,2.939580217,3.029831217
16,2.851340217,3.071471417,2.968031217
17,2.762472617,2.900495817,2.916259617
18,2.760608817,2.901455417,2.972263017
19,2.619396617,3.133810617,2.977133517
20,2.621459817,2.856633017,2.916328117
21,2.868448317,2.796960717,2.752462717
22,2.860833117,2.931593817,3.040731417
23,2.965043217,2.933526217,3.041718817
24,2.540622117,2.731335417,3.024634917
25,2.910752117,2.977133517,2.609202817
26,2.691769017,2.912066717,3.161175617
27,2.698201317,2.911105617,2.825291217
28,2.905293817,2.987547717,2.828126217
29,2.756285417,3.044808217,2.835758817
30,2.830524217,2.850690917,3.019578117
31,2.824860217,2.840495817,2.835257217
32,2.821338717,2.839548417,2.828633817
33,2.546717817,2.984292417,2.999446217
34,2.806994817,2.861627217,2.713318617
35,2.883789417,3.002383217,2.992340217
36,2.889524217,3.003362217,2.960994917
37,2.962705117,2.742762117,2.961967017
38,2.764829917,2.873936217,3.104475417
39,2.830787617,2.767887417,2.891224017
40,2.826064617,2.991453717,3.086446917
41,2.884745217,2.983641717,3.081468417
42,2.839381217,2.958854817,3.004341217
43,2.819188617,2.767530117,2.858614517
44,2.876210617,2.979306117,3.094621917
45,2.883848217,2.977356317,3.109685617
46,2.801749717,2.729482617,3.110686217
47,2.358419717,2.930436217,2.913167217
48,2.846348617,2.912411217,2.520432417
49,2.846348617,2.907122617,2.834479417
50,2.810758417,2.909044017,2.831639617
51,2.860275217,3.018453717,2.945886217
52,2.902343817,2.790779517,2.684668917
53,3.104380617,2.942919417,3.183800817
54,3.101384817,2.940982617,3.090731217
55,3.120692217,3.384380217,3.087738717
56,3.052580217,3.077613217,3.003515817
57,3.252315117,2.985643017,3.314121117
58,3.254372517,3.030051717,3.374766717
59,2.970034317,3.037938917,3.377925417
60,2.748541317,3.293498217,3.412931817
61,3.093849717,3.113833017,3.016674717
62,3.060444217,3.216821817,3.712793217
63,3.069372217,3.219889017,3.199890117
64,3.136975317,3.061473017,3.203970517
65,2.865108117,3.058234617,3.336226617
66,2.199030517,3.108685017,2.867243817
67,2.205615317,2.573265417,0.919511417
68,2.645991817,2.551871817,0.926996817
69,2.309299017,2.785195617,2.653712217
70,2.709551117,2.457988217,2.504889017
71,2.765664717,2.861467817,2.741125417
72,2.764732017,2.856712317,3.116809017
73,2.802780717,3.015829817,3.111802017
74,2.702773717,2.965855417,2.989303417
75,2.973402417,3.156994617,3.113860817
76,2.978275917,2.907667417,3.245113817
77,2.789141817,2.913441217,3.247169617
78,2.706194617,2.846844217,3.033995317
79,3.043003717,3.013769017,2.989406217
80,3.036613017,3.257462217,3.149930217
81,3.042532617,3.255403217,3.194656617
82,2.667204217,2.925469717,3.197708517
83,2.823916217,2.817222417,2.897617017
84,2.946854817,2.986109617,3.095815017
85,2.945886217,3.187435517,3.238410617
86,2.994383217,3.190482617,2.955274617
87,2.627649417,2.822114617,2.956245417
88,2.890193817,3.183785017,3.019761717
89,2.712076217,3.080336317,3.165365217
90,2.717615417,2.682833517,2.986267417
91,2.931401817,2.680080417,2.986267417
92,2.911312917,2.980445717,3.065073817
93,2.713599217,3.061285017,2.904581017
94,2.710831417,2.916190717,3.199793117
95,3.063188617,2.908495517,3.273410217
96,2.989500717,3.118057017,3.276509817
97,2.865031217,2.968366617,2.940610617
98,3.083425717,3.117896217,3.127113017
99,3.086412217,3.119060217,3.093849717
100,2.833616217,3.122069817,3.096844617
