Time,Rep1,Rep2,Rep3
1,1.271969167,1.225723567,1.153929767
2,1.271969167,2.729845967,1.191351667
3,1.249309267,2.710751767,1.190727767
4,2.750445267,2.769421967,2.603009367
5,2.736006767,2.767553567,2.625193067
6,2.731371767,2.612806767,2.675916767
7,2.592571167,2.846328267,2.671341767
8,2.617973567,2.865118767,2.533218767
9,2.571506567,2.866072267,2.601715567
10,2.771676767,2.490237967,2.680162767
11,2.777286767,2.399404367,2.367243067
12,2.346607067,2.458755867,2.373232967
13,2.480741067,2.251283667,2.150874267
14,2.458755867,2.252949467,2.173092367
15,2.429502767,2.332791567,2.186009867
16,2.430370367,2.274954767,2.385797167
17,2.502774767,2.318003267,2.381508167
18,2.512062767,2.482186667,2.380991867
19,2.523930767,2.479554767,2.328845567
20,2.523930767,2.504988367,2.402676467
21,2.522382767,2.479709267,2.402676467
22,2.503656567,2.599782767,2.432270367
23,2.443788967,2.597080967,2.381682767
24,2.588181367,2.600044767,2.526734967
25,2.588181367,2.848712267,2.496582767
26,2.753835567,2.971306067,2.493940967
27,2.941883567,2.455579267,2.675411267
28,2.409847067,2.459946767,2.696023267
29,2.421095967,2.455143167,2.150061767
30,2.224141767,2.501592167,2.197800267
31,2.293869267,2.306178767,2.200265967
32,2.234471767,2.310397267,2.104542767
33,2.433302767,2.403356067,2.371521567
34,2.431566767,2.517885867,2.317628267
35,2.547150767,2.596818567,2.315938067
36,2.483682767,2.535426467,2.481154067
37,2.589978767,2.535426467,2.415235767
38,2.484714767,2.581991767,2.435367567
39,2.484714767,2.553622767,2.373763667
40,2.525994767,2.562907167,2.372907367
41,2.518770767,2.562907167,2.432434767
42,2.536458267,2.626350567,2.458755867
43,2.536458267,2.563938767,2.438464767
44,2.529090767,2.739826567,2.436726767
45,2.522898767,2.791777367,2.422628867
46,2.316970667,2.792716267,2.437432367
47,2.493638567,2.570507667,2.404911767
48,2.498039567,2.575666667,2.467888167
49,2.528203867,2.595918367,2.465264067
50,2.518917667,2.595918367,2.692372967
51,2.510147367,2.575802167,2.627382167
52,2.510147367,2.591276167,2.511914167
53,2.498947967,2.544338367,2.513680967
54,2.592307767,2.585086567,2.445853367
55,2.534394667,2.585984667,2.458080367
56,2.502774767,2.585086567,2.457047967
57,2.497483967,2.605202767,2.410073767
58,2.700847167,2.577730267,2.410937267
59,2.544620367,2.576833767,2.522304467
60,2.547808067,2.603139567,2.665153367
61,2.548698767,2.650833967,2.481201567
62,2.453398367,2.597211567,2.485593067
63,2.642733667,2.588048267,2.478522767
64,2.538664567,2.588048267,2.494366767
65,2.566138967,2.540211967,2.465981267
66,2.567033567,2.601076367,2.491117167
67,2.519949467,2.603139567,2.490237967
68,2.520465367,2.602237967,2.444821167
69,2.567549367,2.610360767,2.501592167
70,2.567549367,2.573874467,2.459788067
71,2.630352067,2.595018167,2.481618767
72,2.547292167,2.576833767,2.482496467
73,2.611392367,2.575937267,2.474238867
74,2.611392367,2.582125667,2.474238867
75,2.540442767,2.576968667,2.495550767
76,2.581094267,2.584188467,2.496431167
77,2.551699367,2.585086567,2.457723667
78,2.529380167,2.635758467,2.458239767
79,2.530267467,2.556717567,2.441561967
80,2.541101367,2.593339367,2.439822767
81,2.559673767,2.575802167,2.475271067
82,2.518032567,2.575802167,2.459946767
83,2.517147467,2.629694367,2.323206767
84,2.523190567,3.013816367,2.484560867
85,2.614359167,2.858858067,2.483682767
86,2.733016167,2.852193367,2.802935967
87,2.799842367,3.002727167,2.781796367
88,2.795141867,2.691789767,2.951276767
89,3.030071767,2.376880367,2.955159167
90,2.746821767,2.410073767,2.608285967
91,2.512137567,2.406619767,2.296968267
92,2.514790467,2.614995167,2.306265267
93,2.562560567,2.520676967,2.510881967
94,2.763624367,2.597080967,2.503816367
95,2.801233967,2.589876167,2.633322767
96,2.685151767,2.867255867,2.658606767
97,2.677811767,2.759822567,2.768776367
98,2.852753967,2.834555567,2.619118367
99,2.661614767,2.590771367,2.623645367
100,2.855527167,2.600670267,2.750868467
101,2.856478067,2.343846767,2.481464267
102,2.579031467,2.540958767,2.540156167
103,2.595402567,2.566001967,2.537490067
104,2.559812367,2.566001967,2.536314767
105,2.651108967,2.795991467,2.515674767
106,2.650198067,2.793930267,2.516262467
107,2.658170767,2.578000067,2.513094767
108,2.578268267,2.563181967,2.513094767
109,2.643887767,2.564076167,2.300639367
110,2.643887767,2.333709567,2.531896967
111,2.591408267,2.600945767,2.518770767
112,2.605202767,2.586251267,2.518770767
113,2.588181367,2.586251267,2.500861167
114,2.629445367,2.656782767,2.514790467
115,2.628538667,2.583023367,2.465106767
116,2.522158967,2.676498767,2.469161467
117,2.730026367,2.566138967,2.464790967
118,2.777019567,2.566138967,2.527026767
119,2.779828767,2.629445367,2.710206767
120,2.622865967,2.577865367,2.719817567
121,2.141278867,2.607394967,2.721666367
122,2.533362867,2.608297567,2.596038467
123,2.546401567,2.618740367,2.509849767
124,2.546401567,2.669278967,2.607006767
125,2.575802167,2.624538367,2.574634867
126,2.609329167,2.575937267,2.575530767
127,2.592439667,2.575937267,2.521866767
128,2.592439667,2.635758467,2.511030767
129,2.621834567,2.636789867,2.491574967
130,2.591143667,2.625444467,2.492454767
131,2.590111867,2.625444467,2.525994767
132,2.562013367,2.637821267,2.504838767
133,2.563800967,2.629570067,2.532474967
134,2.600175167,2.611520567,2.541847967
135,2.589345467,2.613583367,2.542737167
136,2.568580967,2.613583367,2.542133167
137,2.567686067,2.567686067,2.523044867
138,2.587149767,2.629570067,2.525848867
139,2.566001967,2.609457767,2.524076667
140,2.583023367,2.609457767,2.554374767
141,2.597981567,2.585219867,2.580555467
142,2.597080967,2.607394967,2.542880167
143,2.606234367,2.619771767,2.540442767
144,2.568580967,2.637035267,2.540442767
145,2.652656367,2.638852667,2.482804667
146,2.652656367,2.593471067,2.546260367
147,2.632540167,2.630601467,2.503806767
148,2.603269367,2.607394967,2.503806767
149,2.590376867,2.610102767,2.532331067
150,2.635758467,2.607647567,2.570370767
151,2.635758467,2.501289767,2.520834767
152,2.647103867,2.592307767,2.564694767
153,2.598112367,2.575937267,2.564694767
154,2.570780267,2.577730267,2.539410767
155,2.595018167,2.627507267,2.588946767
156,2.595018167,2.644009667,2.561459767
157,2.636666567,2.612551967,2.559673767
158,2.584054967,2.612551967,2.599782767
159,2.606234367,2.597981567,2.539410767
160,2.605332167,2.666067167,2.513094767
161,2.591276167,2.794111667,2.720741967
162,2.651108967,2.735491767,2.717968767
163,2.856717767,2.735491767,2.872103267
164,2.650398767,2.914843967,2.643221267
165,2.654046767,2.748048767,2.075761767
166,2.837895167,2.339285167,2.065394267
167,2.983153367,2.335041167,2.607908767
168,2.395950167,2.363292567,2.472017767
169,2.402846967,2.910040567,2.495246767
170,2.385464367,2.867255867,2.766328367
171,2.865199967,2.618740367,2.765394767
172,2.799083267,2.618740367,2.473362767
173,2.541808367,2.609585967,2.506902767
174,2.545369967,2.611132767,2.574634867
175,2.551559567,2.611004867,2.575530767
176,2.606234367,2.611004867,2.515822267
177,2.636542867,2.633695667,2.604942767
178,2.631095467,2.600175167,2.540958767
179,2.836617167,2.649287167,2.650866767
180,2.580463367,2.632911267,2.646314267
181,2.506603167,2.634727067,2.763234767
182,2.544338367,2.647224767,2.551838767
183,2.545228567,2.629694367,2.560705567
184,2.570644167,2.635758467,2.560705567
185,2.557749167,2.635758467,2.581991767
186,2.512874567,2.601336367,2.536458267
187,2.513758667,2.685379167,2.564832767
188,2.528203867,2.698784767,2.320110767
189,2.552451167,2.602367567,2.318417967
190,2.621570267,2.602367567,2.583786767
191,2.601206567,2.658052367,2.574498767
