,UM25C Excel,,,,,,
,,,,,2.999935598,<5,5
公司：杭州睿登科技,,表格数据,,,,,
Voltage-Current,,,,,,,
  Time （s）,  Voltage  (V),  Current  (A),,,,,
1,5.19,0.4128,2.142432,-0.857503598,,,
2,5.183,0.4128,2.1395424,-0.860393198,,,
3,5.185,0.3615,1.8743775,-1.125558098,,,
4,5.185,0.7237,3.7523845,0.752448902,,,
5,5.142,0.7506,3.8595852,0.859649602,,,
6,5.139,0.7777,3.9966003,0.996664702,,,
7,5.139,0.7777,3.9966003,0.996664702,,,
8,5.145,0.7775,4.0002375,1.000301902,,,
9,5.145,0.6832,3.515064,0.515128402,,,
10,5.146,0.704,3.622784,0.622848402,,,
11,5.144,0.704,3.621376,0.621440402,,,
12,5.147,0.7901,4.0666447,1.066709102,,,
13,5.139,0.7904,4.0618656,1.061930002,,,
14,5.139,0.8081,4.1528259,1.152890302,,,
15,5.135,0.7082,3.636607,0.636671402,,,
16,5.165,0.7082,3.657853,0.657917402,,,
17,5.155,0.7331,3.7791305,0.779194902,,,
18,5.155,0.6714,3.461067,0.461131402,,,
19,5.155,0.6628,3.416734,0.416798402,,,
20,5.15,0.6707,3.454105,0.454169402,,,
21,5.154,0.6707,3.4567878,0.456852202,,,
22,5.172,0.5685,2.940282,-0.059653598,,,
23,5.172,0.5133,2.6547876,-0.345147998,,,
24,5.172,0.5136,2.6563392,-0.343596398,,,
25,5.172,0.5136,2.6563392,-0.343596398,,,
26,5.172,0.5134,2.6553048,-0.344630798,,,
27,5.172,0.5133,2.6547876,-0.345147998,,,
28,5.172,0.5243,2.7116796,-0.288255998,,,
29,5.172,0.5715,2.955798,-0.044137598,,,
30,5.172,0.5715,2.955798,-0.044137598,,,
31,5.172,0.5147,2.6620284,-0.337907198,,,
32,5.172,0.4784,2.4742848,-0.525650798,,,
33,5.166,0.6608,3.4136928,0.413757202,,,
34,5.154,0.6608,3.4057632,0.405827602,,,
35,5.155,0.6608,3.406424,0.406488402,,,
36,5.158,0.6608,3.4084064,0.408470802,,,
37,5.158,0.6237,3.2170446,0.217109002,,,
38,5.16,0.5764,2.974224,-0.025711598,,,
39,5.172,0.5764,2.9811408,-0.018794798,,,
40,5.172,0.5145,2.660994,-0.338941598,,,
41,5.172,0.5145,2.660994,-0.338941598,,,
42,5.176,0.4772,2.4699872,-0.529948398,,,
43,5.172,0.5139,2.6578908,-0.342044798,,,
44,5.173,0.5139,2.6584047,-0.341530898,,,
45,5.168,0.5283,2.7302544,-0.269681198,,,
46,5.168,0.5149,2.6610032,-0.338932398,,,
