Time,Rep1,Rep2,Rep3
1,1.670591189,3.220955989,2.202408689
2,1.659636089,3.758360489,3.764502089
3,0.983864689,3.754577489,3.758191089
4,3.390358889,4.043162489,3.850983489
5,3.481512689,4.266572489,4.258250489
6,3.848434489,4.623062489,4.661614889
7,3.840765889,4.400934289,4.647211889
8,3.760406389,4.405106989,4.620607689
9,4.469677289,4.453995089,4.646522489
10,4.450810989,4.766060789,4.608272489
11,4.228809089,5.024478689,4.963203889
12,4.220672489,4.691881289,4.952694089
13,4.420616889,4.693331489,4.488393689
14,4.433356889,4.951081889,4.678474489
15,4.428260889,4.729872089,4.750837689
16,4.438046189,5.096834489,4.804514289
17,4.655368689,4.779852089,4.798623889
18,4.712330989,4.791605689,4.597377889
19,4.917578889,5.000594789,4.922881889
20,4.794993489,4.823358389,4.821064889
21,4.790586489,5.069866489,4.958271489
22,4.451448689,5.085122489,4.950760489
23,4.668623489,4.659272489,4.897053689
24,4.724401089,4.639166189,4.411819289
25,4.357061489,4.627456889,4.931032089
26,4.376440289,4.797042489,4.926547689
27,4.336649089,4.802930489,4.858409489
28,4.447872689,4.731313289,4.762113989
29,4.467886289,4.833133289,4.813941689
30,4.466480889,4.609263989,4.801911689
31,4.605601689,4.469210689,4.810742489
32,4.585727289,4.473436789,4.835275589
33,4.854502089,4.646293589,4.891364589
34,4.502820789,4.796478089,4.810888889
35,4.501409089,4.955940889,4.813839489
36,4.526095489,4.957445289,5.120766489
37,4.748673489,4.522082489,5.007768489
38,4.823147189,4.600112489,5.037813689
39,4.823147189,4.761350189,4.732193689
40,4.661522489,4.672686489,4.733652089
41,4.334035589,4.669792489,5.057091089
42,4.546702289,5.214064089,4.961758489
43,4.435395289,4.738607289,4.535676389
44,4.442391789,4.935883889,4.528582889
45,4.522872089,4.935883889,4.823460389
46,4.477974489,4.768099589,4.976190389
47,4.742684089,4.664120789,4.797720889
48,4.739764889,4.635847289,4.876155989
49,4.640218089,4.338273089,4.862786489
50,4.591238889,4.327235489,4.051049789
51,4.687322489,4.583478089,4.817453189
52,4.815899389,4.527455089,4.402271289
53,4.832103489,4.633447289,4.396700089
54,4.575103489,4.627696889,4.967490289
55,4.499038989,4.281524189,4.488238989
56,4.617886289,4.881166589,4.995501789
57,4.609292489,4.475080889,4.796588289
58,4.476793989,5.049500789,4.803949289
59,4.531310489,5.051022089,4.853219489
60,4.639983889,4.101097689,4.353713489
61,4.581039689,4.764596889,4.799532689
62,4.581039689,4.502662489,4.798060489
63,4.157325089,4.515374989,4.491395289
64,4.529552489,4.603780989,5.010364789
65,4.829263589,4.072975089,4.478201689
66,4.835168789,4.260972089,4.645502489
67,4.831317089,4.252792889,4.636866089
68,4.481035689,4.999624489,4.748048089
69,4.058079889,4.775604989,4.945617689
70,4.431922589,5.415034589,5.139599489
71,4.423542389,4.703747689,5.147295989
72,4.631352289,4.697935289,4.678207889
73,4.691449689,4.949493189,4.738305289
74,4.719168389,4.949493189,4.704766089
75,4.719168389,4.486436189,4.579699489
76,4.663177089,4.493489689,4.583987389
77,4.717564289,5.053596089,4.968575489
78,4.774661889,4.710146489,5.269903489
79,5.062733689,4.778834489,4.729276889
80,5.056639289,4.711013189,4.740944089
81,4.738167489,4.708106989,4.736129489
82,4.503797489,4.493724689,4.611301989
83,4.605820589,4.742821289,4.854238889
84,4.605820589,4.657653989,4.534147289
85,4.503403289,4.656212489,4.541239289
86,4.538402489,4.663684489,4.839048489
87,4.343072489,4.477448489,3.549503989
88,4.586336489,5.034150089,4.943243189
89,4.593482489,4.819156489,4.911808289
90,4.265188889,4.847295489,5.161775489
91,4.831864089,4.976391989,4.946425889
92,4.509789289,5.335477289,5.031242489
93,4.508372889,4.627633489,5.105929889
94,4.507509989,4.637706489,5.116677689
95,5.211877489,5.185803989,5.387991689
96,4.921747489,5.220472889,5.328024089
97,4.887314489,5.608178489,5.611818489
98,4.908191289,5.346545689,5.615086489
99,5.201539689,5.471460489,5.262646889
100,4.973776489,4.138115489,4.006327489
101,2.485650389,3.994664989,3.853027489
102,2.522373989,3.598678889,3.979528489
103,4.041451289,3.598678889,3.988670489
104,3.676549889,3.872722289,3.950481989
105,3.678086789,3.919815689,3.938717489
106,4.109455289,4.789706689,4.751142089
107,4.102807289,3.999901989,4.743840089
108,4.042092189,4.016985289,3.981572889
109,4.647140589,3.628782289,3.911453489
110,3.818790489,4.493401789,4.454114989
111,3.830263689,4.773196589,4.758444089
112,4.350483489,4.771731289,4.748221289
113,4.326002489,3.858153489,4.252442889
114,4.490344889,4.266241489,4.165504889
115,3.934703489,4.671340289,4.459225089
116,3.941195989,4.689954089,4.453614689
117,4.405056889,4.689954089,4.739342489
118,4.525369689,4.477835689,4.205725089
119,4.616018589,4.802132089,4.517212889
120,4.727742989,3.997876289,4.591529489
121,4.717564289,4.304106789,4.617278489
122,4.470557689,4.295899389,4.202734289
123,3.829990489,4.401304589,4.241051789
124,3.905418989,4.344150989,4.684860989
125,3.895086989,4.452078689,4.610092589
126,4.391466489,4.477339889,4.633025389
127,4.567044089,3.791245289,3.725593589
128,3.731879489,4.383587489,4.412485089
129,4.131325189,4.735407289,4.551953489
130,4.124646689,4.368044189,4.544850989
131,4.283563789,4.369431089,4.868974889
132,4.902072489,4.393702189,4.458842489
133,4.071432089,4.766948989,4.799522489
134,4.076745689,4.774532489,4.440109989
135,4.316148889,4.764279589,4.435908489
