frame_number,original_frame_number,frame_with_full_frame
1,69,1
3,72,
54,124,
59,142,
60,144,
63,151,
73,283,
74,285,
79,291,
89,303,89
97,314,
100,318,
104,326,
110,363,
112,382,
125,465,
145,486,
154,496,
176,519,
184,528,
187,532,
188,536,
189,544,
192,549,
193,551,
196,558,
200,566,
204,571,
206,574,
212,581,
217,587,
218,593,
221,598,
223,605,223
225,609,
229,614,
231,618,
245,704,
246,706,
263,725,
277,740,
279,743,
282,747,
285,751,
300,767,
309,777,
310,779,
311,889,
315,981,315
323,1036,
326,1235,326
334,1366,
336,1369,
337,1371,
338,1373,
344,1426,
349,1463,
353,1468,
355,1551,355
359,1557,
369,1568,
375,1575,
380,1582,
407,1610,
411,1621,
417,1629,
426,1641,
428,1644,
438,1655,
441,1659,
454,1673,
463,1683,
466,1688,
467,1690,
480,1704,
493,1718,
496,1722,
534,1761,
542,1770,
544,1774,
548,1780,
549,1783,
550,1809,550
570,1832,
572,1835,
576,1842,
577,1844,
580,1848,
584,1879,
601,1911,
624,1935,
625,1937,
678,2005,
680,2008,
681,2023,
687,2036,
701,2052,
715,2068,
722,2081,
724,2085,
725,2094,
731,2101,731
738,2109,
873,2248,
874,2252,
875,2254,
928,2308,
929,2310,
931,2315,
935,2360,
951,2393,
952,2395,
953,2406,953
954,2408,
969,2509,
971,2631,
972,2643,
973,2647,
974,2649,
989,2753,989
990,2756,
991,2760,
992,2781,
993,2787,
994,2789,
995,2801,
996,2810,
997,2812,
1011,2923,
1012,2925,
1014,2932,
1016,2935,
1018,2945,
1020,2983,
1021,2986,
1022,3007,1022
1023,3102,
1031,3111,
1039,3142,
1040,3172,
1047,3180,
1054,3215,
1071,3239,
1073,3242,
1079,3250,
1081,3268,
1087,3302,1087
1094,3314,
1096,3317,
1103,3325,
1109,3332,
1114,3339,
1124,3350,
1129,3356,
1130,3359,
1138,3368,
1149,3386,
1189,3429,
1191,3433,
1192,3439,
1194,3513,
1196,3652,1196
1197,3659,
1198,3661,
1199,3700,
1210,3712,
1217,3739,
1219,3835,
1244,3861,
1286,3904,1286
1322,3941,
1323,3943,
1326,3948,
1333,3957,
1335,3960,
1352,3978,
1451,4143,
1455,4149,
1456,4156,
1457,4159,
1458,4281,1458
1459,4319,
1460,4321,
1467,4411,
1468,4415,
1469,4419,
1470,4562,1470
1471,4569,
1473,4578,
1474,4581,
1475,4583,
1492,4601,
1497,4608,
1502,4614,
1503,4617,
1506,4621,
1508,4625,
1514,4634,
1518,4639,
1521,4643,
1524,4647,
1534,4658,
1535,4660,
1543,4669,
1560,4687,
1594,4722,
1597,4726,
1635,4768,
1637,4771,
1638,4774,
1640,4872,1640
1642,4877,
1653,4889,
1657,4894,
1658,4896,
1665,4904,
1674,4915,
1676,4918,
1678,4923,
1696,4942,
1698,4945,
1700,4952,
1702,4956,
1704,4959,
1707,4964,
1709,4967,
1730,4989,
1731,4991,
1735,4997,
1737,5000,
1739,5004,
1740,5007,
1741,5010,
1743,5042,
1744,5046,
1745,5048,
1816,5120,1816
1823,5128,
1826,5132,
1841,5149,
1864,5174,
1891,5202,
1894,5206,
1895,5210,
1896,5213,
1897,5750,1897
1901,5756,
1906,5762,
1919,5776,
1932,5790,
1935,5794,
1944,5805,
1945,5807,
1946,5809,
1949,5815,
1953,5820,
1954,5823,
1955,5826,
1958,5831,
1959,5834,
1964,5842,
1966,5845,
1973,5854,
1976,5860,
1978,5863,
1980,5867,
1983,5872,
1985,5877,
1991,5885,
1994,5889,
1995,5892,
1996,5896,
1997,5898,
1999,5901,
2002,5905,
2003,5907,
2005,5913,
2007,5917,
2008,5921,
2009,5932,
2010,5936,
2011,5938,
2012,5941,
2013,5946,
2016,5951,
2017,5953,
2019,5958,
2021,5996,
2025,6003,2025
2026,6011,
2027,6018,
2028,6033,
2030,6036,
2032,6131,
2035,6135,
2046,6147,
2048,6156,
2049,6163,
2081,6196,
2082,6199,
2114,6232,
2135,6254,
2190,6310,2190
2193,6315,
2196,6326,
2207,6338,
2215,6349,
2216,6352,
2220,6358,
2223,6389,
2234,6401,
2236,6443,
2271,6483,
2276,6495,
2292,6512,
2293,6520,
2304,6548,
2309,6555,
2312,6559,
2315,6563,
2316,6565,
2317,6649,2317
2360,6694,
2370,6705,
2373,6709,
2381,6719,
2383,6722,
2384,6724,
2385,6727,
2387,6732,
2389,6754,
2391,6757,
2439,6807,
2440,6809,
2446,6816,
2448,7172,2448
2451,7182,
2453,7186,
2456,7197,
2468,7211,2468
2475,7266,
