frame_number,original_frame_number,frame_with_full_frame
1,4,1
2,12,
4,36,
5,49,
7,53,
8,55,
10,58,
15,66,
16,73,
21,95,
22,105,
23,108,
27,114,
29,118,
30,126,
36,134,
38,180,
40,183,
45,216,
46,226,
47,234,
48,237,
50,245,
51,249,
53,255,
56,263,
57,269,
58,279,
59,283,
60,289,
61,306,61
62,308,
64,315,
66,335,
68,344,
71,354,
72,357,
73,361,
74,365,
75,367,
76,373,
77,376,
78,378,
79,383,
81,386,
82,396,
83,400,
85,407,
87,413,
88,417,
89,419,
90,421,
91,426,
92,436,
93,444,
94,448,
95,465,
96,472,
97,477,
101,483,
103,486,
108,492,
112,498,
116,512,
117,515,
118,525,
119,527,
121,532,
122,546,
123,551,
124,555,
126,565,
127,568,
128,574,
135,582,
136,585,
139,598,
140,607,140
141,612,
142,616,
143,618,
144,636,
146,645,
148,652,
150,666,
151,696,
152,705,
153,707,
154,722,
156,726,
157,728,
158,731,
159,737,
160,740,
161,742,
167,749,
169,753,
172,757,
175,762,
177,766,
178,768,
180,774,
183,781,
186,785,
188,788,
192,799,
193,802,
195,810,
196,812,
197,816,
198,818,
199,823,
204,834,
206,837,
207,843,
209,846,
228,868,
232,874,
233,877,
235,882,
237,885,
238,889,
239,891,
246,899,
251,906,251
254,915,
255,921,
257,924,
260,929,
265,935,
268,939,
271,943,
274,948,
275,951,
278,956,
280,960,
281,966,
282,969,
289,980,
290,983,
291,988,
292,995,
293,1002,
294,1026,
296,1034,
297,1041,
298,1043,
299,1074,
302,1078,
304,1086,
305,1088,
308,1094,
313,1116,
316,1125,
318,1133,
320,1137,
343,1165,
344,1171,
345,1175,
347,1201,347
351,1236,
352,1248,
354,1257,
356,1265,
358,1269,
361,1274,
363,1296,
365,1316,
366,1318,
367,1320,
370,1325,
376,1332,
386,1343,
387,1345,
388,1347,
389,1349,
403,1364,
411,1373,
434,1397,
462,1426,
466,1431,
477,1444,
483,1452,
489,1459,
490,1462,
491,1464,
501,1475,
503,1478,
507,1483,
508,1486,
510,1489,
514,1494,
517,1500,517
524,1509,
527,1513,
530,1519,
533,1526,
535,1536,
536,1538,
537,1540,
538,1545,
540,1552,
541,1557,
545,1562,
560,1578,
561,1582,
562,1584,
565,1595,
567,1598,
568,1600,
570,1603,
573,1607,
576,1611,
579,1616,
594,1632,
597,1636,
606,1647,
607,1649,
609,1653,
610,1657,
614,1662,
615,1664,
616,1666,
620,1671,
628,1681,
635,1690,
649,1705,
652,1709,
653,1711,
657,1716,
661,1722,
662,1743,
666,1763,
667,1766,
668,1797,
669,1800,669
671,1806,
