frame_number,original_frame_number,frame_with_full_frame
1,926,1
3,931,
4,933,
5,937,
6,941,
7,944,
8,959,
9,962,
10,968,
11,1772,11
12,1774,
13,1776,
15,1897,15
16,1974,
17,2107,17
18,2124,
20,2133,
21,2136,
22,2185,
23,2253,
26,2262,
29,2267,
30,2270,
34,2275,
35,2281,
36,2283,
37,2299,
39,2302,
41,2327,
47,2334,
51,2342,
52,2357,
54,2361,
57,2366,
58,2390,
61,2394,
71,2405,71
74,2410,
80,2417,
82,2422,
83,2424,
87,2431,
91,2437,
99,2446,
100,2448,
101,2452,
102,2454,
103,2457,
108,2465,
109,2471,
115,2481,
116,2483,
118,2494,
120,2497,
122,2517,
124,2520,
126,2526,
127,2540,
128,2549,
129,2551,
132,2563,
134,2568,
135,2575,
136,2577,
139,2581,
140,2588,
142,2594,
144,2598,
147,2604,
150,2616,
153,2622,
155,2625,
157,2629,
161,2637,
162,2640,
163,2642,
166,2647,
170,2652,
174,2659,
178,2664,
186,2673,
187,2675,
194,2683,
196,2686,
198,2691,
203,2698,
209,2709,209
210,2711,
212,2714,
213,2716,
214,2720,
220,2732,
221,2735,
223,2738,
225,2744,
229,2751,
231,2754,
232,2756,
235,2760,
236,2768,
242,2778,
244,2781,
248,2786,
250,2792,
252,2801,
254,2805,
256,2808,
258,2811,
260,2814,
263,2818,
268,2826,
270,2841,
271,2848,
272,2853,
273,2864,
274,2867,
275,2874,
277,2877,
279,2881,
280,2917,
281,2919,
282,2930,
285,2934,
286,2938,
288,2969,
289,2972,
290,2978,
292,2981,
297,2995,
298,3000,298
300,3008,
302,3013,
305,3018,
306,3020,
308,3028,
310,3032,
312,3038,
313,3044,
316,3053,
319,3062,
320,3064,
321,3066,
324,3074,
325,3080,
329,3096,
330,3102,
331,3105,
332,3110,
336,3115,
337,3122,
339,3129,
341,3132,
342,3140,
343,3147,
344,3150,
345,3153,
346,3155,
348,3161,
350,3173,
352,3176,
354,3179,
356,3187,
358,3190,
359,3196,
362,3200,
363,3202,
365,3215,
366,3217,
367,3232,
369,3252,
370,3255,
371,3267,
372,3317,372
373,3322,
374,3345,
375,3348,
380,3354,
384,3359,
386,3364,
387,3368,
388,3374,
389,3376,
391,3379,
392,3383,
393,3389,
394,3394,
399,3403,
400,3408,
401,3412,
405,3417,
407,3420,
408,3423,
410,3426,
411,3450,
415,3456,
416,3460,
417,3468,
418,3470,
419,3475,
424,3483,
425,3485,
428,3489,
430,3492,
432,3498,
433,3507,
434,3512,
436,3575,
437,3595,
438,3635,438
439,3659,
442,3667,
444,3670,
445,3674,
450,3682,
452,3693,
453,3705,
456,3710,
458,3770,
459,3896,
461,3908,461
462,3915,
464,3920,
467,3938,
471,3978,
473,4000,
474,5984,474
476,6351,476
495,6384,
500,6959,500
512,8093,512
513,8095,
514,8125,514
515,8146,
516,8195,
518,8209,
519,8215,
520,8217,
521,8219,
522,8240,
523,8303,
524,8307,
526,8316,
527,8334,
528,8684,528
531,8697,
533,8703,533
536,8709,
537,8711,
538,8717,
540,8725,
546,8741,
547,8745,
549,8750,
553,8755,
555,8766,
556,8768,
557,8771,
559,8774,
561,8782,
562,8784,
564,8799,
565,8802,
566,8810,
567,8817,
569,8821,
570,8825,
572,8831,
573,8838,
575,9342,575
576,9364,
577,9517,
578,9521,
579,9727,579
580,9731,
581,9765,
582,9768,
583,9772,
584,9795,
585,9799,
587,9804,
589,9809,
591,9815,
593,9821,
594,9915,594
601,9923,
603,9926,
608,9932,
609,9936,
627,9956,
656,9986,
657,9989,
658,9991,
661,9996,
663,10021,
664,10026,
666,10031,
667,10033,
668,10037,
670,10042,
673,10046,
678,10052,
685,10060,
689,10065,
693,10088,
694,10099,
695,10104,
696,10124,
697,10198,
699,10220,699
700,10249,
703,10253,
