frame_number,original_frame_number,frame_with_full_frame,time_stamp_in_original_video
1,282,1,00:11
4,305,4,00:12
14,316,,00:12
23,326,,00:13
24,341,,00:13
28,346,,00:13
30,353,,00:14
36,360,,00:14
39,439,,00:17
41,442,,00:17
48,723,48,00:28
50,732,,00:29
52,995,52,00:39
55,999,,00:39
56,1021,,00:40
66,1032,,00:41
67,1034,,00:41
68,1036,,00:41
70,1040,,00:41
71,1050,,00:42
72,1321,72,00:52
76,1857,76,01:14
79,2265,79,01:30
90,2279,,01:31
92,2282,,01:31
94,2285,,01:31
98,2504,98,01:40
109,2516,,01:40
119,2533,,01:41
122,2537,,01:41
123,2540,,01:41
124,2543,,01:41
125,3354,125,02:14
127,3357,,02:14
137,3578,,02:23
166,3610,166,02:24
171,3617,,02:24
173,3620,,02:24
175,3624,,02:24
176,3626,,02:25
177,3628,,02:25
179,3737,,02:29
182,3752,,02:30
191,3762,,02:30
194,3766,,02:30
198,3771,,02:30
203,3784,,02:31
204,3797,,02:31
205,3799,,02:31
207,3804,,02:32
208,3806,,02:32
209,3820,,02:32
217,3857,,02:34
227,3884,,02:35
229,3887,,02:35
233,3958,233,02:38
235,3962,,02:38
236,3965,,02:38
237,3972,,02:38
246,3982,,02:39
253,3990,,02:39
276,4020,,02:40
294,4040,,02:41
295,4060,,02:42
296,4062,,02:42
297,4067,,02:42
299,4126,,02:45
301,4137,,02:45
303,4257,303,02:50
313,4355,,02:54
314,4375,,02:55
315,4381,,02:55
317,4390,,02:55
319,4394,,02:55
321,4398,,02:55
323,5734,323,03:49
325,5741,,03:49
335,5754,,03:50
336,5774,,03:50
337,5776,,03:51
338,6452,338,04:18
354,6478,,04:19
356,6494,,04:19
357,6496,,04:19
359,6504,,04:20
360,6506,,04:20
361,6508,,04:20
364,6512,,04:20
365,6515,,04:20
367,6519,,04:20
369,6523,,04:20
370,6527,,04:21
373,6534,,04:21
374,6538,,04:21
376,6559,,04:22
378,6563,,04:22
379,6568,,04:22
380,6570,,04:22
381,6575,,04:23
384,6579,,04:23
385,6581,,04:23
386,6593,,04:23
389,6597,,04:23
390,6599,,04:23
395,6605,395,04:24
396,6607,,04:24
397,6609,,04:24
398,6612,,04:24
399,6618,,04:24
403,6623,,04:24
405,6626,,04:25
407,6629,,04:25
410,6641,,04:25
411,6646,,04:25
412,6652,,04:26
419,6663,,04:26
420,6667,,04:26
424,6672,,04:26
425,6715,,04:28
432,6724,,04:28
436,6732,,04:29
441,6738,,04:29
446,6744,,04:29
450,6754,,04:30
451,6808,,04:32
452,6811,,04:32
453,6818,,04:32
454,6821,,04:32
455,6823,,04:32
457,6828,,04:33
461,6834,,04:33
462,6840,,04:33
463,6843,,04:33
464,6845,,04:33
465,6847,,04:33
467,6852,,04:34
469,6855,,04:34
472,6861,,04:34
473,6863,,04:34
475,6872,,04:34
476,6876,,04:35
477,6884,,04:35
479,6888,,04:35
481,6892,,04:35
483,6898,,04:35
484,6903,484,04:36
485,6908,,04:36
488,6912,,04:36
495,6920,,04:36
496,6924,,04:36
497,6926,,04:37
501,6942,,04:37
502,6946,,04:37
506,6952,,04:38
507,6954,,04:38
509,6962,,04:38
511,6968,,04:38
513,6972,,04:38
515,6976,,04:39
516,6984,,04:39
519,6993,,04:39
520,6998,,04:39
522,7001,,04:40
523,7003,,04:40
524,7008,,04:40
526,7011,,04:40
527,7013,,04:40
529,7019,,04:40
530,7030,,04:41
531,7068,,04:42
535,7074,,04:42
537,7078,,04:43
540,7082,,04:43
542,7087,,04:43
543,7089,,04:43
544,7091,,04:43
545,7219,545,04:48
546,7223,,04:48
551,7241,,04:49
553,7245,,04:49
556,7253,,04:50
571,7338,,04:53
574,7349,,04:53
576,7352,,04:54
581,7358,,04:54
587,7737,587,05:09
588,8457,588,05:38
594,9268,594,06:10
595,9270,,06:10
596,9336,596,06:13
600,9341,,06:13
602,9345,,06:13
603,9417,,06:16
607,9443,,06:17
609,9472,,06:18
610,9535,,06:21
615,9541,,06:21
627,9556,,06:22
631,9641,631,06:25
633,9680,,06:27
638,9686,,06:27
640,10478,640,06:59
642,10482,,06:59
644,10505,644,07:00
652,10691,,07:07
654,10707,,07:08
655,10916,655,07:16
658,11481,658,07:39
663,11487,,07:39
664,11489,,07:39
671,11497,,07:39
684,12164,684,08:06
689,12203,,08:08
693,12257,,08:10
694,12264,,08:10
696,12285,,08:11
701,12453,701,08:18
704,12457,,08:18
710,12464,,08:18
719,12588,,08:23
723,12593,,08:23
738,12743,738,08:29
744,12883,,08:35
746,12934,746,08:37
751,12952,,08:38
752,12957,,08:38
754,12990,,08:39
771,13108,,08:44
773,13147,,08:45
774,13149,,08:45
775,13215,775,08:48
777,13244,,08:49
778,13248,,08:49
779,13324,,08:52
780,13332,,08:53
781,13345,,08:53
782,13348,,08:53
787,13355,,08:54
788,13357,,08:54
789,13371,,08:54
791,13449,,08:57
794,13476,,08:59
795,13478,,08:59
797,13482,,08:59
798,13485,,08:59
799,13489,,08:59
800,13521,800,09:00
801,13533,,09:01
