frame_number,original_frame_number,frame_with_full_frame
1,6,1
3,12,
4,17,
9,24,
10,26,
11,30,
19,39,
20,41,
26,51,
33,80,
34,83,
39,89,
50,101,
54,106,
60,121,
62,124,
64,130,
65,132,
69,138,
71,141,
72,148,
74,163,
75,187,
76,191,
77,195,
84,203,
87,208,
89,211,
92,215,
97,221,
116,241,
123,249,
131,259,
145,274,
146,276,
157,288,
218,350,218
219,356,
231,369,
232,371,
286,426,
288,431,
289,453,
312,489,
316,902,316
320,974,
325,983,
348,1023,
356,1042,
379,1124,
383,1363,383
385,1390,
386,1444,
411,1470,
421,1497,
485,1562,485
492,1570,
494,1574,
497,1578,
499,1608,
510,1621,
527,1644,
538,1716,
545,1725,
546,1729,
548,1737,
549,1740,
560,1752,
563,1763,
564,1770,
568,1776,
571,1781,
572,1783,
573,1785,
576,1789,
577,1791,
583,1800,583
585,1804,
587,1810,
588,1812,
589,1838,
590,2018,
593,2026,
594,2028,
595,2030,
609,2045,
626,2102,626
639,2172,
645,2211,
646,2214,
657,2226,
659,2229,
663,2234,
665,2237,
675,2248,
712,2286,
713,2288,
734,2310,
735,2313,
736,2315,
738,2318,
739,2320,
740,2322,
748,2331,
750,2334,
753,2338,
754,2340,
758,2345,
759,2347,
760,2349,
763,2353,
765,2356,
767,2359,
768,2361,
774,2369,
776,2372,
781,2378,
782,2380,
784,2383,
785,2385,
789,2403,789
794,2438,
804,2477,
830,2504,
831,2506,
836,2512,
843,2522,
845,2525,
847,2528,
852,2587,
870,2616,
873,2620,
888,2636,
891,2640,
892,2642,
914,2665,
979,2745,979
991,2773,
1055,2838,
1059,2844,
1060,2849,
1061,2851,
1063,2854,
1064,2856,
1066,2859,
1083,2878,
1088,2884,
1091,2888,
1094,2905,
1097,2996,
1100,3002,1100
1102,3047,
1103,3066,
1106,3088,
1107,3096,
1109,3101,
1110,3116,
1111,3124,
1112,3127,
1116,3135,
1128,3148,
1133,3154,
1134,3156,
1168,3191,
1191,3215,
1192,3221,
1194,3225,
1213,3258,
1214,3261,
1216,3264,
1218,3267,
1219,3269,
1220,3271,
1236,3288,
1311,3365,1311
1324,3380,
1330,3389,
1332,3393,
1341,3413,
1344,3418,
1346,3430,
1352,3438,
1360,3447,
1363,3453,
1368,3460,
1369,3469,
1370,3476,
1381,3489,
1384,3497,
1402,3516,
1403,3518,
1454,3570,
1456,3574,
1467,3587,
1472,3594,
1474,3617,1474
1476,3621,
1479,3625,
1480,3627,
1481,3633,
1500,3656,
1526,3683,
1527,3685,
1534,3696,
1535,3698,
1549,3714,
1550,3716,
1552,3719,
1591,3760,
1597,3767,
1605,3779,
1608,3783,
1614,3791,
1617,3796,
1623,3804,
1632,3817,
1633,3820,
1649,3840,
1650,3842,
1663,3856,
1667,3863,
1668,3865,
1671,3871,
1674,3876,
1676,3879,
1678,3883,
1679,3885,
1680,3887,
1683,3893,
1684,3895,
1685,3898,
1687,3904,1687
1688,4064,
1713,4100,
1737,4146,
1741,4157,
1749,4167,
1754,4173,
1757,4178,
1760,4183,
1762,4186,
1763,4188,
1764,4260,1764
1765,4263,
1766,4265,
1768,4268,
1771,4272,
1781,4283,
1788,4291,
1790,4294,
1803,4313,
1806,4326,
1826,4358,
1832,4454,
1844,4474,
1857,4492,
1860,4500,1860
1870,4512,
1871,4515,
1872,4524,
1873,4526,
1875,4532,
1876,4535,
1878,4544,
1880,4549,
1881,4564,
1882,4572,
1883,4574,
1884,4577,
1886,4582,
1887,4587,
1888,4591,
1889,4609,
1891,4616,
1893,4629,
1894,4633,
1895,4637,
1896,4734,
1898,4750,
1899,4753,
1901,4756,
1902,4765,
1904,4769,
1908,4775,
1910,4778,
1911,4780,
1912,4782,
1914,4786,
1916,4790,
1918,4794,
1920,4797,
1921,4799,
1926,4805,1926
1927,4816,
1928,4820,
1929,4828,
1932,4839,
1933,4841,
1936,4845,
1937,4850,
1938,4879,
1939,4885,
1940,4887,
1941,4890,
1943,4893,
1944,4898,
1945,4900,
1949,4905,
1951,4908,
1955,4913,
1959,4919,
1963,4928,
1965,4931,
1968,4936,
1971,4940,
1973,4943,
1974,4945,
1978,4950,
1983,4956,
2002,4976,
2003,4978,
2008,4987,
2009,4989,
2013,4994,
2016,4998,
2036,5019,
2038,5022,
2040,5025,
2041,5027,
2042,5029,
2043,5031,
2049,5038,
2053,5043,
2054,5045,
2060,5052,
2065,5058,
2068,5062,
2075,5070,
2076,5073,
2078,5077,
2081,5081,
2083,5170,2083
2086,5175,
2087,5178,
2092,5218,
2095,5224,
2102,5232,
2115,5247,
2117,5251,
2124,5262,
2125,5268,
2127,5271,
2162,5308,
2168,5317,
2170,5346,
2173,5358,
2215,5403,2215
2218,5428,
2229,5471,
2234,5566,
2235,5571,
2238,5575,
2241,5579,
2243,5584,
2244,5588,
2246,5594,
2248,5597,
2252,5602,
2255,5606,
2256,5611,
2260,5616,
2262,5620,
2263,5623,
2266,5627,
2267,5631,
2271,5637,
2272,5816,2272
2276,5858,
2287,5872,
2307,5893,
2311,5898,
2315,5903,
2316,5905,
2358,5949,
2375,5968,
2408,6002,2408
2410,6006,
2421,6020,
2435,6036,
2443,6045,
2447,6051,
2449,6055,
2454,6061,
2456,6066,
2458,6069,
2466,6101,
2485,6122,
2491,6143,
2495,6154,
2515,6180,
2522,6233,
2571,6293,
