Order,Video Name,IJCV_name,Insect,Entry Frame,Exit Frame,Status,Raw Video Visits,Processed Video - Visits,Difference,,,,,,,,,,,,,
1,cam_1_N_video_20210315_132804.h264,T8,Honeybee,3517,4115,Matched,2,2,0,,,,,,,,,,,,,
1,cam_1_N_video_20210315_132804.h264,T8,Honeybee,4649,5213,Matched,2,2,0,,,,,,,,,,,Insect,Number,FlowerVisits
1,cam_1_N_video_20210315_132804.h264,T8,Honeybee,5257,5850,Matched,1,1,0,,,,,,,,,,,Honeybee,#REF!,#REF!
1,cam_1_N_video_20210315_132804.h264,T8,Honeybee,6201,6238,Matched,1,1,0,,,,,,,,,,,Hoverfly,#REF!,#REF!
1,cam_1_N_video_20210315_132804.h264,T8,Wasp,8590,8595,Matched,0,0,0,,,,,,,,,,,Moth,#REF!,#REF!
1,cam_1_N_video_20210315_132804.h264,T8,Moth,10432,10605,Matched,1,1,0,,,,,,,,,,,Wasp,#REF!,#REF!
1,cam_1_N_video_20210315_132804.h264,T8,Honeybee,15920,16283,Matched,2,3,1,,,,,,,,,,,,,
1,cam_1_N_video_20210315_132804.h264,T8,Wasp,17878,17884,Matched,0,0,0,,,,,,,,,,,,,
2,cam_8_N_video_20210310_133844.h264,T2,Honeybee,15858,17213,Matched,7,7,0,,,,,,,,,,,,,
3,cam_1_S_video_20210317_123004.h264,T5,Honeybee,925,951,Matched,0,0,0,,,,,,,,,,,,,
3,cam_1_S_video_20210317_123004.h264,T5,Wasp,8093,8098,New Insect,,0,0,,,,,,,,,,,,,
3,cam_1_S_video_20210317_123004.h264,T5,Wasp,15369,15374,Matched,0,0,0,,,,,,,,,,,,,
3,cam_1_S_video_20210317_123004.h264,T5,Honeybee,17396,17989,Matched,2,2,0,,,,,,,,,,,,,
4,cam_2_S_video_20210308_112402.h264,T6,Wasp,5295,5419,Matched,0,0,0,,,,,,,,,,,,,
4,cam_2_S_video_20210308_112402.h264,T6,Wasp,5474,5560,Matched,0,0,0,,,,,,,,,,,,,
4,cam_2_S_video_20210308_112402.h264,T6,Wasp,5647,5670,Matched,0,0,0,,,,,,,,,,,,,
4,cam_2_S_video_20210308_112402.h264,T6,Wasp,5686,5761,Matched,0,0,0,,,,,,,,,,,,,
4,cam_2_S_video_20210308_112402.h264,T6,Wasp,6152,6190,New Insect,,0,0,,,,,,,,,,,,,
4,cam_2_S_video_20210308_112402.h264,T6,Wasp,6215,6226,New Insect,,0,0,,,,,,,,,,,,,
4,cam_2_S_video_20210308_112402.h264,T6,Wasp,6244,6545,Matched,0,0,0,,,,,,,,,,,,,
5,cam_3_N_video_20210317_142705.h264,T4,Honeybee,5903,6136,Matched,1,1,0,,,,,,,,,,,,,
5,cam_3_N_video_20210317_142705.h264,T4,Honeybee,6506,6532,Matched,0,0,0,,,,,,,,,,,,,
5,cam_3_N_video_20210317_142705.h264,T4,Honeybee,6831,7142,Matched,2,1,-1,,,,,,,,,,,,,
5,cam_3_N_video_20210317_142705.h264,T4,Honeybee,7231,7585,Matched,2,2,0,,,,,,,,,,,,,
5,cam_3_N_video_20210317_142705.h264,T4,Honeybee,7597,7680,Matched,1,1,0,,,,,,,,,,,,,
5,cam_3_N_video_20210317_142705.h264,T4,Wasp,10570,10599,Matched,0,0,0,,,,,,,,,,,,,
5,cam_3_N_video_20210317_142705.h264,T4,Honeybee,10733,10745,Matched,0,0,0,,,,,,,,,,,,,
5,cam_3_N_video_20210317_142705.h264,T4,Honeybee,11015,11963,Matched,7,8,1,,,,,,,,,,,,,
6,cam_3_S_video_20210312_123203.h264,T7,Moth,8113,11036,Matched,5,5,0,,,,,,,,,,,,,
6,cam_3_S_video_20210312_123203.h264,T7,Honeybee,12608,14210,Matched,11,10,-1,,,,,,,,,,,,,
6,cam_3_S_video_20210312_123203.h264,T7,Honeybee,15129,15587,Matched,2,2,0,,,,,,,,,,,,,
6,cam_3_S_video_20210312_123203.h264,T7,Honeybee,17015,17343,Matched,3,3,0,,,,,,,,,,,,,
7,cam_4_N_video_20210309_132604.h264,T1,Hoverfly,10531,10931,Matched,1,1,0,,,,,,,,,,,,,
